mag_x (uT),mag_y (uT),mag_z (uT)
3.256619245937249474e+01,-3.531943379140177086e+00,3.754114054054460325e+01
3.258384837669531464e+01,-3.546129637910629739e+00,3.753286890177275126e+01
3.257901864765782562e+01,-3.532892306011333527e+00,3.752897704159515513e+01
3.258400932435635866e+01,-3.536003669478611666e+00,3.753520806958044886e+01
3.258129392346263131e+01,-3.535945551079693772e+00,3.752790593225792293e+01
3.258081423879182381e+01,-3.538776113100783327e+00,3.754168286229516127e+01
3.258037996872346298e+01,-3.539789836726152661e+00,3.752457389123502907e+01
3.260007934137142627e+01,-3.534544117677090203e+00,3.753363531777911533e+01
3.256890259837917512e+01,-3.516207793760347311e+00,3.754900974523478396e+01
3.257073933275950139e+01,-3.513287631105664666e+00,3.752485110100500521e+01
3.258084620215075233e+01,-3.534731092528297314e+00,3.753484736233197339e+01
3.258872267911960563e+01,-3.537532477335949999e+00,3.754501282784339367e+01
3.258865177150727277e+01,-3.530025437513653497e+00,3.754297444201116463e+01
3.260605091774255015e+01,-3.545069256207120212e+00,3.755930661084553890e+01
3.256922885331230333e+01,-3.528831189034308036e+00,3.752776823005344653e+01
3.257378471300910405e+01,-3.552441499860838459e+00,3.754043484267413078e+01
3.257496231578901558e+01,-3.530651280021380067e+00,3.754524023150020184e+01
3.259016223373768639e+01,-3.521920699410976852e+00,3.753902104166545683e+01
3.258934709222717174e+01,-3.530988884661674376e+00,3.753437184051495734e+01
3.257380941216418790e+01,-3.553038695440645434e+00,3.755355014083883702e+01
3.258641572037490164e+01,-3.527224154463883821e+00,3.753814297533470778e+01
3.257821120420368999e+01,-3.546275183958299770e+00,3.753324463570054803e+01
3.258279252551614036e+01,-3.533023904280211180e+00,3.753839764730217610e+01
3.257599044208426164e+01,-3.517694103801899175e+00,3.755731899219465220e+01
3.257549186359110394e+01,-3.543022343653328576e+00,3.752679411839698531e+01
3.259116729735419682e+01,-3.514651713179888226e+00,3.756437390942573984e+01
3.257169672321799681e+01,-3.539911429585232305e+00,3.753494504293145440e+01
3.260873837120296770e+01,-3.529039768521402554e+00,3.752714461683770253e+01
3.258425448626611143e+01,-3.532614260701498754e+00,3.754453714772652972e+01
3.258265721127384040e+01,-3.537123413238749237e+00,3.753714378814007802e+01
3.257565552618608251e+01,-3.552891659548532921e+00,3.752543060937814090e+01
3.259836768712995791e+01,-3.531455277533016357e+00,3.753726023011849833e+01
3.256175484338649539e+01,-3.527525880256384472e+00,3.755489025554656735e+01
3.258776101592972196e+01,-3.546586925775186749e+00,3.754915957903467927e+01
3.257677935348883835e+01,-3.538519723543485096e+00,3.754507974974954010e+01
3.258848619274824188e+01,-3.553829957133243234e+00,3.753960006688188145e+01
3.257375002801441610e+01,-3.544861332130908593e+00,3.753880553658049735e+01
3.259329753539680752e+01,-3.544511233180892784e+00,3.753404613720332605e+01
3.258222219557921306e+01,-3.529814506729641366e+00,3.754067517674262433e+01
3.257414162169951055e+01,-3.532914464452035386e+00,3.752990698286360072e+01
3.259523157463254250e+01,-3.529517910469720743e+00,3.754087754582291581e+01
3.258278209965485672e+01,-3.526542500681746350e+00,3.755014265112083649e+01
3.257870757503695813e+01,-3.524803177314616676e+00,3.752944825658442340e+01
