accel_x (m/s^2),accel_y (m/s^2),accel_z (m/s^2)
4.214772076259066212e-03,2.386731395317852680e-03,-9.796859732721591385e+00
-2.962576768240797551e-03,-9.296123233600257297e-04,-9.797029540580282969e+00
9.749856260103684788e-04,8.526865454430133939e-03,-9.796828176001662669e+00
-3.015797864104569331e-03,-6.962699811775879301e-03,-9.793949791996617193e+00
5.944452272490487015e-03,-1.516761157869837579e-03,-9.792615661361480761e+00
1.919691117280643592e-04,-1.971689187374852173e-03,-9.787132497994143421e+00
1.947173119809957650e-04,-1.201851653920914254e-02,-9.785710844385453910e+00
-3.502989658903099372e-03,-6.806198519569690505e-03,-9.788250880921955499e+00
-5.425137489386520039e-03,1.498033447488577403e-03,-9.792208278750640815e+00
1.290521105168609918e-03,4.889225036601832323e-03,-9.789219778635297686e+00
-5.407123906873288061e-03,-1.484325181509092142e-03,-9.795845937624747535e+00
-7.670857042577160223e-03,-4.433147290093497964e-03,-9.797357987426824621e+00
5.360195780389457806e-03,5.109834981878865270e-03,-9.798382113831072715e+00
2.086846151285274512e-03,1.512366846870398041e-03,-9.794739958771387478e+00
-1.659952415003112299e-03,-1.812109746032804659e-03,-9.797898477550658569e+00
-9.017324109335924168e-03,-1.715693808194141074e-03,-9.791827627587192495e+00
-8.608445637637249584e-03,-1.663699475045605537e-03,-9.799161153882852915e+00
1.272915366773213867e-02,9.160801653070748188e-03,-9.790153509770064488e+00
1.089222378947110430e-02,5.454007993436024715e-03,-9.788891597767253927e+00
-4.971535505735852735e-04,-8.536229670833478389e-03,-9.801049821467339385e+00
-5.030999231950714252e-03,-6.299493650988892759e-03,-9.790529379049399239e+00
-6.615316846725434116e-03,-9.044669422747947732e-03,-9.793634385164999401e+00
-4.841907043417691646e-03,2.122556784588124773e-03,-9.792874649536551956e+00
-4.335764618971679231e-03,-4.758904148064112510e-04,-9.786941362453889681e+00
1.061621728076388030e-03,-4.660976720852892836e-03,-9.793801147276356645e+00
-5.530155710584709269e-03,2.466172430718844254e-03,-9.794254730656252406e+00
-9.100353192461136049e-04,-4.087480586796768400e-03,-9.796358047145085735e+00
-1.134603430603597397e-02,-6.498423583213791630e-04,-9.796362341654933914e+00
-5.661379276055551702e-04,1.209560101545544014e-04,-9.790774665101345420e+00
1.425200662945192613e-03,5.606199069736351320e-03,-9.791121587413877947e+00
1.319493724279281873e-03,4.642309109844699805e-04,-9.797836596194770209e+00
-4.606669291924511342e-03,-3.661852025074480415e-03,-9.802148526764620229e+00
-1.352099760280653807e-03,2.363516141339440987e-03,-9.796334166674855126e+00
-3.371052764245095843e-03,-2.888410777112132566e-03,-9.785665401668326879e+00
6.008808224362009905e-03,3.420829380732851293e-03,-9.790649837493898389e+00
-3.786107503554620238e-03,-3.760474986988148090e-03,-9.798906433964152285e+00
5.776240098650652945e-03,1.971574521492025424e-04,-9.804836165017228211e+00
-4.612832628755730510e-03,-2.836392485499998790e-03,-9.795932400273018814e+00
-5.295649846500796037e-03,-2.694479291749093258e-03,-9.801101918834612903e+00
-3.726325977657510453e-03,4.266684692656224666e-03,-9.801392496029038170e+00
3.121789648897993312e-03,2.711819131800454526e-03,-9.790144977901901413e+00
-1.905969084952672697e-03,1.090061890802651763e-02,-9.802130528810138799e+00
-6.721297321558464093e-03,-3.565156462514497068e-03,-9.797696605964564043e+00
-2.437540406936486437e-03,-3.210091988917631364e-03,-9.791468443612634687e+00
-3.228378123024812623e-03,-4.375762083269725371e-03,-9.794356727944412810e+00
-9.302160612034161488e-03,-2.664815423765566973e-03,-9.791077457705100073e+00
-8.163885392848662520e-03,-2.547601925169265882e-03,-9.805270554539013972e+00
-5.961513946466572532e-03,7.853359513996320193e-03,-9.792902564006062960e+00
-5.418722704216527922e-03,3.154541379345475027e-03,-9.784930592615019407e+00
3.871758576016199899e-03,-9.229497889498661928e-03,-9.794060590635654151e+00
6.558445460569784988e-03,-5.221260049723759102e-03,-9.793370556427117180e+00
4.332228913211444432e-03,-2.450827032895658893e-03,-9.789562206245577158e+00
7.666891569836619411e-04,-7.206049722418763660e-03,-9.791109986948958621e+00
4.352204010417875038e-03,-1.625486006995615663e-03,-9.801943466864106114e+00
