gps_lat (deg),gps_lon (deg),gps_alt (m),gps_vN (m/s),gps_vE (m/s),gps_vD (m/s)
3.199991443543156677e+01,1.199999579938483834e+02,-4.862636789644151136e+00,1.809159235219890555e-02,7.135787642525855644e-04,-2.817136628147611649e-03
3.200000185240486417e+01,1.199999810365026036e+02,6.522086731992843056e+00,4.702768803639911961e-03,7.422488739746960391e-03,-5.248428651019640401e-02
3.200000314550361225e+01,1.200000911725762052e+02,-7.427207946258405080e-01,4.320456255820112612e-02,-5.251953184695332816e-02,-5.628127471413489971e-03
3.199998115475253613e+01,1.199999866706922518e+02,-1.557263184108879983e+00,4.190681359565883585e-02,3.733044162959269635e-02,-4.642681719723761036e-02
3.200000607977921163e+01,1.200000150598897619e+02,7.405018062757131148e+00,-1.050127098747174331e-01,-1.910257746893568448e-02,-3.271560880413606348e-02
3.199994797018577941e+01,1.200000051414767768e+02,-4.976002721438639753e+00,8.881575779787903580e-02,-6.004926188751213978e-02,2.960938314515284349e-04
3.200002590883624976e+01,1.199999866108854860e+02,7.113231276905219502e+00,-3.162913618496019513e-02,-1.614353944731866100e-03,2.447636613041515030e-02
3.199995984213851941e+01,1.199999968047663117e+02,7.846634324995766185e+00,6.357499282274330088e-02,-3.028982074016178458e-02,-4.634319950721751263e-02
3.199994221814567652e+01,1.200000275082944086e+02,-2.947518907887779704e+00,-3.227223424730306378e-02,-6.032513551570888727e-02,-2.790401855414119739e-02
3.199998673040783359e+01,1.199999694474389571e+02,-6.022750987644272413e+00,-7.365752298294030165e-02,1.103975620591597477e-02,-8.243206951416104378e-02
3.200001192277667172e+01,1.200000164749515932e+02,1.799918679447919834e+00,-9.130864391899598531e-02,2.950891745508492370e-02,-9.399165325462632836e-02
3.200003014909020749e+01,1.200000062591100800e+02,1.287699542332781100e+01,-9.944859741201496350e-03,-3.172444491445949172e-02,-1.168021006142721044e-02
3.200003179505245043e+01,1.199999661894659368e+02,-1.709907670077245090e+00,-2.156553374733477871e-02,4.674876470089599743e-03,-5.091906283232117136e-02
