mag_x (uT),mag_y (uT),mag_z (uT)
3.250347990309351331e+01,-3.746212200562420325e+00,3.755297193593878546e+01
3.262753041355000505e+01,-3.387538643443736230e+00,3.753617135020680706e+01
3.263045245279855777e+01,-3.648781822501407035e+00,3.738217751869748184e+01
3.266218623783254316e+01,-3.355329178859510098e+00,3.748754459837395103e+01
3.263245842515819106e+01,-3.477922666483868053e+00,3.757619142969912929e+01
3.272163089665263414e+01,-3.605531558198828090e+00,3.751043342450782347e+01
3.252934197039311925e+01,-3.483141405250917089e+00,3.751540662265877302e+01
3.247313439593486351e+01,-3.684472722449968263e+00,3.753088967357398076e+01
3.266969211016749597e+01,-3.497989484263270388e+00,3.760156011050653291e+01
3.264314795063598496e+01,-3.436905035347824988e+00,3.763484061870980923e+01
3.275045540283730361e+01,-3.592292002541407570e+00,3.760904340035937565e+01
3.249037265273582165e+01,-3.299629201372159759e+00,3.755564014668023276e+01
3.264337141019720434e+01,-3.566973198301180759e+00,3.750505681453739726e+01
3.261739687008441280e+01,-3.593919407138320476e+00,3.739349665048018068e+01
3.269088687442474850e+01,-3.537484329922590209e+00,3.745776738394198446e+01
3.256317826054085884e+01,-3.403766082095766699e+00,3.741913033360506091e+01
3.262126140582581257e+01,-3.531973187083071064e+00,3.744727717495857178e+01
3.256252578747802318e+01,-3.470925304433276626e+00,3.749016525063305494e+01
3.248254625060443601e+01,-3.606097869649895316e+00,3.746262764022834091e+01
3.254831764063446542e+01,-3.443443357826234230e+00,3.751954559378160781e+01
3.250257867670998735e+01,-3.505000911189937174e+00,3.755230262135165731e+01
3.259231091263561808e+01,-3.585266447626618280e+00,3.752818433118972052e+01
3.278733413037031852e+01,-3.332544251624175224e+00,3.756244283634297432e+01
3.261019783918586512e+01,-3.371981484027305687e+00,3.739597466919513380e+01
3.262367204712470681e+01,-3.510415136382186496e+00,3.747695070319939248e+01
3.275732437187761548e+01,-3.494632477622922728e+00,3.757194055441047453e+01
3.253506139778116335e+01,-3.392680078767134511e+00,3.732251383809266088e+01
3.279448514197225961e+01,-3.558317051781967333e+00,3.754529540986065683e+01
3.259335435569069261e+01,-3.579749208441612041e+00,3.755198507849247136e+01
3.264130877354978111e+01,-3.311845057963708427e+00,3.743599402345530081e+01
3.269179583761996355e+01,-3.415925976082490045e+00,3.752563254858343811e+01
3.239283403938169670e+01,-3.509709106997356720e+00,3.743400896820394053e+01
3.260360337258389762e+01,-3.475247500623039887e+00,3.770971299824400091e+01
3.249326726105146435e+01,-3.688159524339429840e+00,3.755066618092187980e+01
3.266064236467418880e+01,-3.659154973600715621e+00,3.741609377884491039e+01
3.258256494445339513e+01,-3.646788116049862971e+00,3.760353188943355462e+01
3.250085993485397751e+01,-3.574017195737557717e+00,3.765476558491182146e+01
3.267002518450073723e+01,-3.691868495072610834e+00,3.746334061786300396e+01
3.247484885251051168e+01,-3.452382278762664125e+00,3.770882574128243903e+01
3.245690513465638105e+01,-3.353122409241709789e+00,3.759790788625490165e+01
3.257301380249042921e+01,-3.433347998875659446e+00,3.768972203589876102e+01
3.275903060675246081e+01,-3.343987530050197332e+00,3.763883061157572030e+01
3.250831011576410390e+01,-3.394634710650054732e+00,3.751743929416998213e+01
3.248799058152525987e+01,-3.549839791696121516e+00,3.753449821049230906e+01
3.266437670091318779e+01,-3.615695659779009752e+00,3.748655896522770092e+01
3.262677733289077509e+01,-3.510202362075605986e+00,3.760523180387807685e+01
3.253150108291868037e+01,-3.696877917600344787e+00,3.760967117109373703e+01
3.256763193572174231e+01,-3.604757583279857514e+00,3.764384777633038937e+01
3.272378936378179048e+01,-3.500574538611198605e+00,3.763276518948134708e+01
3.265401070131852634e+01,-3.431839412363958619e+00,3.763781384605091063e+01
3.269749087663430487e+01,-3.463451092159319344e+00,3.743127418582596277e+01
3.257490185189999465e+01,-3.504987933101128661e+00,3.763847568954812317e+01
3.275161118489731393e+01,-3.587601373945936700e+00,3.739977690904477470e+01
3.258359432627914742e+01,-3.451887102363790927e+00,3.759656720534629670e+01
3.252453902451727430e+01,-3.475790379524941187e+00,3.752151844651689316e+01
3.251611609508861989e+01,-3.664709575229314176e+00,3.743239253246598253e+01
3.269955820260990720e+01,-3.460337062251010565e+00,3.752330421275846106e+01
3.242944747404688144e+01,-3.534691202020288525e+00,3.735020194328361498e+01
3.268156466749292122e+01,-3.516526978384507895e+00,3.735469966738055803e+01
3.266533910422685949e+01,-3.363379467204429041e+00,3.746577939716059547e+01
3.262937155132518541e+01,-3.674302868012820245e+00,3.759845227344513319e+01
3.258502759763107548e+01,-3.540683939328866714e+00,3.752365672841376210e+01
3.267304453735598457e+01,-3.626743713642401445e+00,3.768956771004678785e+01
3.261379049425724475e+01,-3.640313732780124489e+00,3.757767582555084118e+01
3.275050743296147004e+01,-3.408270760330285309e+00,3.753716347708591172e+01
3.247979413945220983e+01,-3.330814692514395770e+00,3.755455091030871984e+01
3.254821149417445980e+01,-3.521730351254046543e+00,3.760802532845998769e+01
3.242271476049840828e+01,-3.465452485535873706e+00,3.751454310351950738e+01
3.262734126611304220e+01,-3.571024017481296831e+00,3.759943262342521564e+01
3.267058445622988216e+01,-3.395556763768328157e+00,3.757422184759628436e+01
3.261299286591262359e+01,-3.679051429897354453e+00,3.755031418291665091e+01
3.247098163634835544e+01,-3.836680305344358111e+00,3.771029777613819078e+01
3.266173328437914591e+01,-3.531937333966850279e+00,3.753934649342782137e+01
3.271009017230414173e+01,-3.679078638231833231e+00,3.748779531993309888e+01
3.257162644896222048e+01,-3.326849327228705633e+00,3.748944453797754761e+01
3.254976660719599835e+01,-3.440483863439641077e+00,3.756720374654493355e+01
3.270551848930863059e+01,-3.534236914887599390e+00,3.755799992552744726e+01
3.261069667627799618e+01,-3.492573734862036261e+00,3.751366804960917278e+01
3.266911511822568315e+01,-3.660718314309962196e+00,3.731095408157504068e+01
3.262970054995128066e+01,-3.592736887101151133e+00,3.749110728493004530e+01
3.260430936378827482e+01,-3.674086316434645116e+00,3.760275053732289763e+01
3.246171723181014102e+01,-3.564217683299363504e+00,3.756628726279592456e+01
