gps_lat (deg),gps_lon (deg),gps_alt (m),gps_vN (m/s),gps_vE (m/s),gps_vD (m/s)
3.200000706565067077e+01,1.199999921454364653e+02,1.710987159429313564e+00,-1.196280778512885321e-02,2.939891868140389816e-02,-4.951519954267596946e-02
3.200004439365770281e+01,1.199999303740443679e+02,-7.243986694815927940e+00,1.089562035220634564e-02,1.765793536588056156e-02,-1.989595837877855024e-03
3.199993251799961769e+01,1.200000846037668225e+02,4.433805442259786123e-01,5.348885029843722383e-02,-8.669272379579109900e-03,8.013845576633271683e-02
3.199998534510065795e+01,1.199999808220612181e+02,-1.823771299089330711e+01,-1.590875884070313065e-02,-2.666329952973537504e-02,4.494621923930708363e-02
3.200002333216539085e+01,1.200001238559072050e+02,-1.252477423384031852e+01,8.156227132894766640e-02,4.836934658176742646e-02,-1.377088020463114182e-01
3.199997160632608484e+01,1.199999004185535654e+02,8.417494148918325259e-01,-1.129832370595796748e-01,6.660563759034253406e-02,4.896480184309261879e-02
3.199999228395421724e+01,1.199998448895702126e+02,4.752765911949933475e+00,-3.655196839064742912e-03,4.041018060611564766e-03,5.991811792368313683e-02
3.199998443364227185e+01,1.199999903171446647e+02,-2.385500018213612683e-01,1.709099969290650556e-02,5.616625409174003103e-02,-7.756953071329125704e-02
3.199995638325772873e+01,1.199999856432995813e+02,1.031528399498749193e+00,-8.777126762428316686e-02,5.960192535675668327e-03,2.739419054298429523e-02
3.199992151591522926e+01,1.199999495545575172e+02,-9.733616352124014881e+00,-3.479326543809477951e-02,-3.443542845302274141e-02,1.280231079513524618e-03
3.199995028473022529e+01,1.200000304644356390e+02,5.527105302176219759e+00,3.476917172876562573e-02,-3.340621239382031774e-03,3.606489434025840490e-02
3.199997684240391393e+01,1.200000294283067603e+02,-8.141567736104146746e+00,9.624718259149719901e-02,5.846513424929199870e-02,6.482890089071296179e-03
3.200005248912555089e+01,1.200000327737147785e+02,-1.207600839968511686e+01,1.281308263378345969e-02,4.384664467208773675e-02,-1.031338481616820152e-01
3.200000704242943783e+01,1.199999749264363800e+02,-7.341724342391071190e+00,-2.980206724933927298e-02,3.563454761976216079e-02,2.653180049909174224e-03
3.199998370925382574e+01,1.199999600700499656e+02,3.139720003638281298e+00,1.231539012572809705e-01,4.745425734064849868e-03,-1.042447470796166974e-02
3.200005953602379094e+01,1.200000271620584158e+02,-8.685796862153392084e-01,4.034882648573304698e-01,-6.845252283630593425e-03,-4.108544672838392725e-02
3.199998072589303888e+01,1.199999712649290160e+02,-7.262178158506943149e+00,4.272063705987049764e-01,-1.382865959357423846e-02,4.917641678048940285e-03
3.199998951753977749e+01,1.200000437656152457e+02,-5.847220228479907966e+00,5.555730423934384099e-01,1.624059526173122700e-02,-6.612534392782437598e-02
3.199993160562119243e+01,1.199999934535909745e+02,-7.153750447004084911e+00,6.421431698178765579e-01,-1.123712076689592498e-02,-1.231832850908760046e-01
3.200006586724375524e+01,1.199999942987171266e+02,4.096417318801560015e+00,7.057898597216910597e-01,-2.384595866135535980e-02,-1.036065144514454611e-01
3.199995772730107291e+01,1.200000277760382943e+02,1.305218191144341011e+00,8.286577165865657291e-01,2.188561807741348786e-02,-4.182531748935891525e-02
3.199998238562566399e+01,1.200000372378540732e+02,-9.347329537807073763e+00,9.469432285218187806e-01,-1.257987976440016475e-01,-1.841706835991607782e-01
3.200000749072111006e+01,1.199999639638678275e+02,1.170415931161022449e+01,9.879782421993668073e-01,-1.738329000955144560e-02,-1.635880588367358834e-01
3.200003926943844590e+01,1.200001132247463005e+02,5.900932117411017863e+00,1.024484855385970672e+00,-4.914875313975370502e-02,-3.141172892359164193e-01
3.199994024458317909e+01,1.200000832022687405e+02,-6.497238831369647194e+00,1.098183768864595233e+00,2.247989274183271810e-02,-3.249543615750971060e-01
3.199999800435017150e+01,1.199999987363706282e+02,8.520507570149531418e+00,1.322337711333285926e+00,-4.146849120470072481e-02,-4.341057298829708588e-01
3.199997491693542173e+01,1.199999969573475482e+02,3.984747830771460109e+00,1.340277263118236473e+00,-4.097582450047969338e-02,-3.986710748820086470e-01
3.200007864771686883e+01,1.199999520856924988e+02,9.350225768601180931e+00,1.467003574719883741e+00,-1.362860333344444001e-02,-4.917124932846161367e-01
3.199998424457964319e+01,1.200000373492131303e+02,1.804672552030677579e+01,1.413988972953924117e+00,2.598839690340402908e-02,-6.141154912403417043e-01
3.199998770981808960e+01,1.199999516799055215e+02,-8.162290620276999586e-01,1.556482150116135665e+00,1.124011012721080338e-01,-6.468946831342023973e-01
3.199995816314628527e+01,1.199999644353133306e+02,-2.419176022445761909e+00,1.673114953266297666e+00,-2.948401485518703600e-03,-7.052225790790406235e-01
3.199997265628480392e+01,1.199998073613077167e+02,-1.277525736447965876e+01,1.723915949318213015e+00,-4.099059801858251362e-02,-8.496718361314555823e-01
3.200006002950323136e+01,1.200000446100210354e+02,1.389226566780612071e+00,1.831134409141878194e+00,-5.746904156743758846e-02,-8.521900359942261582e-01
3.200001163680398264e+01,1.200000317303802291e+02,2.078006364617418722e+00,1.998543425001946039e+00,-2.317374496021963604e-02,-8.998076477422833896e-01
3.200010101975780685e+01,1.199998643846304418e+02,-6.955825482396841508e+00,2.003929039342911000e+00,1.911636886091737028e-02,-1.030581382536730706e+00
3.199998854081811928e+01,1.200000825941526301e+02,9.651640704994864706e+00,2.071967223828485860e+00,-9.100942071362180807e-02,-1.047863367183577310e+00
3.200003889209791907e+01,1.199998910797824010e+02,6.626116264520259591e+00,2.041846564925187568e+00,-2.575650937833980428e-02,-1.255078745850836119e+00
3.200009662639904917e+01,1.199999403489383383e+02,-5.806703755634523567e+00,2.173656067148872939e+00,6.485390535956529756e-03,-1.291256654946258076e+00
