gyro_x (deg/s),gyro_y (deg/s),gyro_z (deg/s)
-1.045721901571094459e-01,-1.170695235604534978e-01,1.763744046152437295e-01
9.517949769678621386e-02,6.582848360428839030e-02,-1.470239025686846494e-02
-6.735116609309614588e-02,1.848596692235102146e-01,-1.031562040027594329e-01
-4.971202514352456719e-02,-1.938610624816490824e-01,1.077892048870061487e-01
-1.398533356284019542e-02,-2.292798839653227561e-01,-2.340813654496845253e-01
-1.973725236215961298e-01,-5.857306465094437413e-03,3.021023698075207820e-02
-9.947055653515108134e-03,-8.326927169914367932e-02,-2.247497675172578993e-02
-2.680000688966824307e-02,3.357767854553842524e-01,9.052847184590444296e-02
-2.135772126585052111e-01,-5.708645117067044639e-02,-1.330156143969303262e-01
4.782683153863726694e-02,-2.086234780242530451e-01,-2.694410420603378098e-01
9.300820308783975393e-03,-9.189058786723856842e-02,2.372115940416170687e-01
-1.880242639606311689e-02,8.105148561596244028e-02,5.156359897863143499e-02
-2.663469839509972070e-01,6.217405690478756269e-02,9.547357997843525235e-02
-8.319623293630139249e-02,-1.847712881075054270e-01,-7.346186308381794094e-02
-1.641133863411689264e-01,-2.821208614542321832e-04,-9.673711891086903686e-03
1.212578400280157065e-01,2.221297519687999780e-03,-9.282669376149169094e-02
4.145365802126389776e-02,-1.247763448387044921e-01,-9.077266816824684781e-02
-1.413626940599570503e-01,1.236966116741823433e-02,1.030900161921188413e-01
-1.270091572252641521e-01,9.829357268230984324e-02,-2.430420118849591082e-01
7.862711422724596305e-03,2.838548962454217131e-02,-9.025926096540076715e-02
2.372261353507651785e-02,3.935535861512271557e-04,-9.942599793949742637e-02
1.736585352188625420e-01,-1.692729629185266149e-02,4.508674183928587653e-02
-7.825659705250928577e-02,-9.161691836197623229e-02,-2.422213424803604243e-01
-3.244557997711989411e-02,-9.818823504139612135e-02,-1.278596513811832980e-01
-5.084368356489906565e-02,7.727229328495530125e-02,-1.538038184728346969e-01
-1.245415400432094422e-01,-5.099571423691270228e-02,-1.831394076179300168e-01
-4.465171915894182442e-02,-7.008225625726585695e-02,2.330112168345028090e-03
1.829857897749190276e-02,-1.799805061178256782e-01,1.858304469624225130e-02
4.496669959889701418e-02,1.255687660805041295e-01,-1.213194348644286089e-02
-3.697215402534301948e-02,-1.979715121299176483e-01,9.003314922982315338e-02
2.348702520128978788e-01,-5.488205117023901847e-02,-2.129291139593336435e-01
-3.314324755294565175e-03,5.994046874668880996e-04,1.005791769548876891e-01
2.167047126852280348e-01,1.432269536545733302e-01,1.879251973824744015e-01
1.304322148438837314e-01,4.723175080185218477e-02,-7.158291176164824354e-02
